,year,month,rebasement,item,provider,value
0,2016,1,1.5563698372657848,gen_pv,DXT,297.98101267307
1,2016,1,1.6267190364516684,solar,ADMIE,311.45
2,2016,1,1.212422027792205,gen_hydro_exps,DXT,405.45461232693
3,2016,1,1.3441299837851142,hydro,ADMIE,449.5
4,2016,1,1.3508581777271669,wind,ADMIE,492.3
5,2016,1,1.3508581777271669,gen_wind,DXT,492.3
6,2016,1,1.0120648379693198,demand,ADMIE,4647.34
7,2016,1,1.0247040248139185,demand,DXT,4705.378375
8,2016,2,1.1794056362628218,gen_hydro_exps,DXT,322.111011536648
9,2016,2,1.4473798898349144,gen_pv,DXT,329.989588463352
10,2016,2,1.4942256492580845,solar,ADMIE,340.67
11,2016,2,1.4367679312226076,hydro,ADMIE,392.4
12,2016,2,1.360170133491945,wind,ADMIE,484.8
13,2016,2,1.360170133491945,gen_wind,DXT,484.8
14,2016,2,1.0187247718215708,demand,ADMIE,3962.33
15,2016,2,1.034496292582594,demand,DXT,4023.67333
16,2016,3,1.4460615235288115,gen_pv,DXT,391.529351844059
17,2016,3,1.5105870360361804,solar,ADMIE,409.0
18,2016,3,1.4460965916581474,wind,ADMIE,483.1
19,2016,3,1.4460965916581474,gen_wind,DXT,483.1
20,2016,3,1.213318391389278,gen_hydro_exps,DXT,525.829873155941
21,2016,3,1.3440810403988919,hydro,ADMIE,582.5
22,2016,3,1.0175033423709596,demand,ADMIE,4177.1
23,2016,3,1.0308560829933513,demand,DXT,4231.916265
24,2016,4,1.5802669155415212,gen_wind,DXT,368.67
25,2016,4,1.5802669155415212,wind,ADMIE,368.67
26,2016,4,1.1655379751244217,gen_hydro_exps,DXT,433.345853613285
27,2016,4,1.247774532279831,gen_pv,DXT,467.230421386715
28,2016,4,1.2861495896659376,solar,ADMIE,481.6
29,2016,4,1.3889225092052422,hydro,ADMIE,516.4
30,2016,4,1.0215600870784534,demand,ADMIE,3676.18
31,2016,4,1.0380290955300875,demand,DXT,3735.445275
32,2016,5,1.2067559427432495,gen_hydro_exps,DXT,350.694137764673
33,2016,5,1.344073996331841,hydro,ADMIE,390.6
34,2016,5,1.5988401442550395,wind,ADMIE,395.9
35,2016,5,1.5988401442550395,gen_wind,DXT,395.9
36,2016,5,1.2496446589921124,gen_pv,DXT,455.815387235327
37,2016,5,1.281596464485848,solar,ADMIE,467.47
38,2016,5,1.0156340817659053,demand,ADMIE,3739.39
39,2016,5,1.0343956303770843,demand,DXT,3808.466795
40,2016,6,1.5828245981305287,gen_wind,DXT,378.8
41,2016,6,1.5828245981305287,wind,ADMIE,378.8
42,2016,6,1.1602266749623533,gen_pv,DXT,450.785190476473
43,2016,6,1.200750517331906,solar,ADMIE,466.53
44,2016,6,1.2122669432085889,gen_hydro_exps,DXT,473.100509523527
45,2016,6,1.3888141525799405,hydro,ADMIE,542.0
46,2016,6,1.0053187010261881,demand,ADMIE,4417.3
47,2016,6,1.0198623293953248,demand,DXT,4481.203685
48,2016,7,1.390256343550365,gen_wind,DXT,451.1
49,2016,7,1.390256343550365,wind,ADMIE,451.1
50,2016,7,1.0962932831669578,gen_pv,DXT,468.860465557906
51,2016,7,1.1362989331734303,solar,ADMIE,485.97
52,2016,7,1.1799451351333516,gen_hydro_exps,DXT,514.824059442094
53,2016,7,1.3439927962807698,hydro,ADMIE,586.4
54,2016,7,1.0024478663819536,demand,ADMIE,5100.15
55,2016,7,1.0153857355077818,demand,DXT,5165.973945
56,2016,8,1.1787262764689868,gen_hydro_exps,DXT,429.749455685275
57,2016,8,1.1013421240740258,gen_pv,DXT,443.671269314725
58,2016,8,1.1367867621870391,solar,ADMIE,457.95
59,2016,8,1.343982797020198,hydro,ADMIE,490.0
60,2016,8,1.3702559404046426,gen_wind,DXT,526.44
61,2016,8,1.3702559404046426,wind,ADMIE,526.44
62,2016,8,1.0147257646070083,demand,ADMIE,4720.9
63,2016,8,1.0294222227715215,demand,DXT,4789.273655
64,2016,9,1.1515590970961103,gen_hydro_exps,DXT,288.409127426818
65,2016,9,1.3886947945905581,hydro,ADMIE,347.8
66,2016,9,1.1324192660940813,gen_pv,DXT,366.442947573182
67,2016,9,1.1619534415144952,solar,ADMIE,376.0
68,2016,9,1.4548467802457723,wind,ADMIE,387.0
69,2016,9,1.4548467802457723,gen_wind,DXT,387.0
70,2016,9,1.005591158149501,demand,ADMIE,3937.18
71,2016,9,1.0229598338717785,demand,DXT,4005.183385
72,2016,10,1.244227000364495,gen_pv,DXT,316.509446788356
73,2016,10,1.2878249589560244,solar,ADMIE,327.6
74,2016,10,1.104477372877235,gen_hydro_exps,DXT,335.388378211644
75,2016,10,1.344199671536272,hydro,ADMIE,408.3
76,2016,10,1.530764696405726,gen_wind,DXT,427.86
77,2016,10,1.5300804208567995,wind,ADMIE,427.86
78,2016,10,1.0125165486048868,demand,ADMIE,3864.56
79,2016,10,1.0288839382443924,demand,DXT,3927.03084
80,2016,11,1.5377406056341025,gen_pv,DXT,287.395928304662
81,2016,11,1.6073201894593128,solar,ADMIE,300.4
82,2016,11,1.1378590759630525,gen_hydro_exps,DXT,392.886421695338
83,2016,11,1.3889948409951767,hydro,ADMIE,479.6
84,2016,11,1.5043824690661558,gen_wind,DXT,486.0
85,2016,11,1.5043824690661558,wind,ADMIE,486.0
86,2016,11,1.021640304241103,demand,ADMIE,4083.86
87,2016,11,1.0381006257636296,demand,DXT,4149.657765
88,2016,12,1.4702398264272711,gen_pv,DXT,292.89824687026
89,2016,12,1.5517673622097607,solar,ADMIE,309.14
90,2016,12,1.1311937643205674,gen_hydro_exps,DXT,490.35972812974
91,2016,12,1.4255353804065969,gen_wind,DXT,578.0
92,2016,12,1.4255353804065969,wind,ADMIE,578.0
93,2016,12,1.3439796322727273,hydro,ADMIE,582.6
