,year,month,rebasement,item,provider,value
0,2016,1,0.5502094984563948,solar,HEA,5.0
1,2016,1,2.283795130142737,hydro,HEA,17.0
2,2016,1,1.114926373346143,wind,HEA,47.0
3,2016,1,1.057034744375744,demand,HEA,4005.0
4,2016,2,0.45646949942128245,solar,HEA,6.0
5,2016,2,2.835538752362949,hydro,HEA,9.0
6,2016,2,1.0701722514904792,wind,HEA,81.0
7,2016,2,1.0584069822595836,demand,HEA,3674.0
8,2016,3,0.5089755428435482,solar,HEA,14.0
9,2016,3,2.433481847299014,hydro,HEA,17.0
10,2016,3,1.0638742500636424,wind,HEA,70.0
11,2016,3,1.05977908830272,demand,HEA,3763.0
12,2016,4,0.5171016821734636,solar,HEA,20.0
13,2016,4,2.2652194431335535,hydro,HEA,30.0
14,2016,4,1.067044859781526,wind,HEA,79.0
15,2016,4,1.0596266147524263,demand,HEA,3502.0
16,2016,5,0.48929826085701766,solar,HEA,21.0
17,2016,5,2.279851809632374,hydro,HEA,29.0
18,2016,5,1.1309761232763975,wind,HEA,56.0
19,2016,5,1.0658550422193704,demand,HEA,3565.0
20,2016,6,0.5193964555601128,solar,HEA,23.0
21,2016,6,2.2751048681150143,hydro,HEA,28.0
22,2016,6,1.0855629486135678,wind,HEA,29.0
23,2016,6,1.0610347727539373,demand,HEA,3579.0
24,2016,7,0.457822888234635,solar,HEA,22.0
25,2016,7,2.2785012019093838,hydro,HEA,25.0
26,2016,7,1.0769032301488033,wind,HEA,48.0
27,2016,7,1.0614658227669904,demand,HEA,3657.0
28,2016,8,2.3667305308238475,hydro,HEA,21.0
29,2016,8,0.436029106905017,solar,HEA,22.0
30,2016,8,1.2236937706338988,wind,HEA,48.0
31,2016,8,1.0574787898301303,demand,HEA,3534.0
32,2016,9,2.41869304193841,hydro,HEA,14.0
33,2016,9,0.4275385780751548,solar,HEA,18.0
34,2016,9,1.1050428204092908,wind,HEA,26.0
35,2016,9,1.0679781023795518,demand,HEA,3543.0
36,2016,10,0.3846314309578947,solar,HEA,8.0
37,2016,10,2.381145655762102,hydro,HEA,22.0
38,2016,10,1.1206754968167019,wind,HEA,58.0
39,2016,10,1.0651339075141026,demand,HEA,3792.0
40,2016,11,0.6023771710698123,solar,HEA,9.0
41,2016,11,2.338823070819006,hydro,HEA,21.0
42,2016,11,1.0733795482861068,wind,HEA,84.0
43,2016,11,1.058967623739788,demand,HEA,3841.0
44,2016,12,0.5598015857919367,solar,HEA,6.0
45,2016,12,2.3721978412999647,hydro,HEA,25.0
46,2016,12,1.0801851213811469,wind,HEA,58.0
47,2016,12,1.0609140368549999,demand,HEA,3991.0
48,2017,1,0.691741506540541,solar,HEA,10.0
49,2017,1,2.2665029747851544,hydro,HEA,15.0
50,2017,1,1.1181446013453804,wind,HEA,62.0
51,2017,1,1.055626275817552,demand,HEA,4290.0
52,2017,2,2.664091378334277,hydro,HEA,10.0
53,2017,2,0.741830534934396,solar,HEA,14.0
54,2017,2,1.0896819351861633,wind,HEA,49.0
55,2017,2,1.0528226023687801,demand,HEA,3713.0
56,2017,3,2.678272514228323,hydro,HEA,12.0
