,year,month,rebasement,item,provider,value
0,2016,1,3.8459838203439283,water_sports,PSE,174.0
1,2016,1,1.0033859224281672,demand,PSE,14900.0
2,2016,1,1.0,wind,PSE,
3,2016,2,2.9645689760069023,water_sports,PSE,268.0
4,2016,2,1.001863662090859,demand,PSE,13619.0
5,2016,2,1.0,wind,PSE,
6,2016,3,2.6322132767680664,water_sports,PSE,273.0
7,2016,3,1.0026801269477281,demand,PSE,14188.0
8,2016,3,1.0,wind,PSE,
9,2016,4,2.8469574689310297,water_sports,PSE,230.0
10,2016,4,1.0011352568122096,demand,PSE,13100.0
11,2016,4,1.0,wind,PSE,
12,2016,5,2.602288125880632,water_sports,PSE,193.0
13,2016,5,1.0013529814520274,demand,PSE,12832.0
14,2016,5,1.0,wind,PSE,
15,2016,6,2.991412762663822,water_sports,PSE,143.0
16,2016,6,1.0025791404304945,demand,PSE,12999.0
17,2016,6,1.0,wind,PSE,
18,2016,7,2.702750760148651,water_sports,PSE,152.0
19,2016,7,1.0006616713351508,demand,PSE,13130.0
20,2016,7,1.0,wind,PSE,
21,2016,8,2.451466373452061,water_sports,PSE,136.0
22,2016,8,1.0033655534618964,demand,PSE,13202.0
23,2016,8,1.0,wind,PSE,
24,2016,9,2.843495504034521,water_sports,PSE,114.0
25,2016,9,0.9985440481175208,demand,PSE,13214.0
26,2016,9,1.0,wind,PSE,
27,2016,10,2.712064832488223,water_sports,PSE,211.0
28,2016,10,0.9990390652641075,demand,PSE,14158.0
29,2016,10,1.0,wind,PSE,
30,2016,11,2.876618866440061,water_sports,PSE,234.0
31,2016,11,1.0016551488804704,demand,PSE,14313.0
32,2016,11,1.0,wind,PSE,
33,2016,12,2.797994085122798,water_sports,PSE,272.0
34,2016,12,1.0017913836173962,demand,PSE,14975.0
35,2016,12,1.0,wind,PSE,
36,2017,1,2.672147995889003,water_sports,PSE,182.0
37,2017,1,0.9976012114517789,demand,PSE,15538.0
38,2017,1,1.0,wind,PSE,
39,2017,2,2.7506435800684135,water_sports,PSE,195.0
40,2017,2,0.9989342735902239,demand,PSE,13894.0
41,2017,2,1.0,wind,PSE,
42,2017,3,2.6251531339328125,water_sports,PSE,315.0
43,2017,3,0.9996513262682262,demand,PSE,14444.0
44,2017,3,1.0,wind,PSE,
45,2017,4,2.615319550242816,water_sports,PSE,269.0
46,2017,4,0.9985594060209255,demand,PSE,13292.0
47,2017,4,1.0,wind,PSE,
48,2017,5,2.487105207376528,water_sports,PSE,264.0
49,2017,5,1.001178920665495,demand,PSE,13406.0
50,2017,5,1.0,wind,PSE,
51,2017,6,2.6365926554641574,water_sports,PSE,146.0
52,2017,6,0.998469183529599,demand,PSE,12951.0
53,2017,6,1.0,wind,PSE,
54,2017,7,2.649803144057206,water_sports,PSE,141.0
55,2017,7,0.9985327636312773,demand,PSE,13428.0
56,2017,7,1.0,wind,PSE,
57,2017,8,2.7366662977533176,water_sports,PSE,136.0
58,2017,8,1.0000079494228278,demand,PSE,13586.0
59,2017,8,1.0,wind,PSE,
60,2017,9,2.6918935548377174,water_sports,PSE,210.0
61,2017,9,0.9992956895611763,demand,PSE,13564.0
62,2017,9,1.0,wind,PSE,
63,2017,10,2.830764576546791,water_sports,PSE,262.0
64,2017,10,0.9989055834525156,demand,PSE,14506.0
65,2017,10,1.0,wind,PSE,
66,2017,11,2.7177102613877477,water_sports,PSE,301.0
67,2017,11,0.9963192956971942,demand,PSE,14619.0
68,2017,11,1.0,wind,PSE,
69,2017,12,2.892734721177159,water_sports,PSE,346.0
70,2017,12,0.9969003153173635,demand,PSE,14910.0
71,2017,12,1.0,wind,PSE,
72,2018,1,2.835443037974684,water_sports,PSE,322.0
73,2018,1,0.997121158202363,demand,PSE,15366.0
74,2018,1,1.0,wind,PSE,
75,2018,2,2.489635657724451,water_sports,PSE,227.0
76,2018,2,0.9965263996620349,demand,PSE,14309.0
77,2018,2,1.0,wind,PSE,
78,2018,3,2.538265445673461,water_sports,PSE,232.0
79,2018,3,0.9980761795096962,demand,PSE,15413.0
80,2018,3,1.0,wind,PSE,
81,2018,4,2.6749706467915666,water_sports,PSE,262.0
82,2018,4,0.99714202101587,demand,PSE,13166.0
83,2018,4,1.0,wind,PSE,
84,2018,5,2.791441590970818,water_sports,PSE,185.0
85,2018,5,1.002945169512771,demand,PSE,13406.0
86,2018,5,1.0,wind,PSE,
87,2018,6,2.8283188205687817,water_sports,PSE,127.0
88,2018,6,0.9997547070235554,demand,PSE,13450.0
89,2018,6,1.0,wind,PSE,
90,2018,7,2.8078984531782933,water_sports,PSE,170.0
91,2018,7,1.0011591763181904,demand,PSE,13907.0
92,2018,7,1.0,wind,PSE,
93,2018,8,2.8238542472859622,water_sports,PSE,135.0
94,2018,8,1.0012680106702785,demand,PSE,14005.0
95,2018,8,1.0,wind,PSE,
96,2018,9,2.884170139577958,water_sports,PSE,109.0
97,2018,9,0.9983869498661668,demand,PSE,13592.0
98,2018,9,1.0,wind,PSE,
99,2018,10,3.2831599151429436,water_sports,PSE,130.0
100,2018,10,0.9984762729083596,demand,PSE,14586.0
101,2018,10,1.0,wind,PSE,
102,2018,11,2.8848705847055705,water_sports,PSE,125.0
103,2018,11,0.9989654327405447,demand,PSE,14647.0
104,2018,11,1.0,wind,PSE,
105,2018,12,3.327691557417023,water_sports,PSE,174.0
106,2018,12,0.9987794681823784,demand,PSE,15084.0
107,2018,12,1.0,wind,PSE,
108,2019,1,2.7888543679819944,water_sports,PSE,228.0
109,2019,1,1.0019263542477361,demand,PSE,15876.0
110,2019,1,1.0,wind,PSE,
111,2019,2,2.7676671356970917,water_sports,PSE,238.0
112,2019,2,0.9989474473270943,demand,PSE,13846.0
113,2019,2,1.0,wind,PSE,
114,2019,3,3.0664615721589183,water_sports,PSE,308.0
115,2019,3,1.0020184475803848,demand,PSE,14741.0
116,2019,3,1.0,wind,PSE,
117,2019,4,3.379601689800845,water_sports,PSE,238.0
118,2019,4,1.0013754181503136,demand,PSE,13426.0
119,2019,4,1.0,wind,PSE,
120,2019,5,2.9589860134527095,water_sports,PSE,291.0
121,2019,5,1.0028795828420063,demand,PSE,13669.0
122,2019,5,1.0,wind,PSE,
123,2019,6,3.1228075002407447,water_sports,PSE,227.0
124,2019,6,1.0060118731806644,demand,PSE,13470.0
125,2019,6,1.0,wind,PSE,
126,2019,7,3.3202614379084965,water_sports,PSE,127.0
127,2019,7,1.0035388179006839,demand,PSE,13706.0
128,2019,7,1.0,wind,PSE,
129,2019,8,3.3598446071869175,water_sports,PSE,128.0
130,2019,8,1.00251276590148,demand,PSE,13606.0
131,2019,8,1.0,wind,PSE,
132,2019,9,3.6369514264931704,water_sports,PSE,135.0
133,2019,9,1.0044261543186774,demand,PSE,13444.0
134,2019,9,1.0,wind,PSE,
135,2019,10,3.4446728134939315,water_sports,PSE,150.0
136,2019,10,1.0028914211299196,demand,PSE,14626.0
137,2019,10,1.0,wind,PSE,
138,2019,11,3.756936915662133,water_sports,PSE,175.0
139,2019,11,1.0031297086305875,demand,PSE,14315.0
140,2019,11,1.0,wind,PSE,
141,2019,12,3.9960612984331236,water_sports,PSE,209.0
142,2019,12,1.0040379235359225,demand,PSE,14665.0
143,2019,12,1.0,wind,PSE,
144,2020,1,3.7915830288057375,water_sports,PSE,221.0
145,2020,1,1.0012931475305784,demand,PSE,15195.0
146,2020,1,1.0,wind,PSE,
147,2020,2,3.4190305900546076,water_sports,PSE,283.0
148,2020,2,1.0021433712385701,demand,PSE,14180.0
149,2020,2,1.0,wind,PSE,
150,2020,3,3.0912080024081323,water_sports,PSE,267.0
151,2020,3,0.9968176887474435,demand,PSE,14158.0
152,2020,3,1.0,wind,PSE,
153,2020,4,3.24050246850041,water_sports,PSE,170.0
154,2020,4,1.0019042465326142,demand,PSE,12116.0
155,2020,4,1.0,wind,PSE,
156,2020,5,3.373563529432989,water_sports,PSE,187.0
157,2020,5,0.997571881218812,demand,PSE,12460.0
158,2020,5,1.0,wind,PSE,
159,2020,6,3.14098750743605,water_sports,PSE,264.0
160,2020,6,0.9967434834673564,demand,PSE,12532.0
161,2020,6,1.0,wind,PSE,
162,2020,7,2.7402098391801295,water_sports,PSE,225.0
163,2020,7,1.001669172658443,demand,PSE,13309.0
164,2020,7,1.0,wind,PSE,
165,2020,8,3.309985478773384,water_sports,PSE,155.0
166,2020,8,1.0028346494294513,demand,PSE,13440.0
167,2020,8,1.0,wind,PSE,
168,2020,9,3.3454769357073224,water_sports,PSE,163.0
169,2020,9,1.0031224045230998,demand,PSE,13480.0
170,2020,9,1.0,wind,PSE,
171,2020,10,3.16739692762498,water_sports,PSE,270.0
172,2020,10,1.007000278323499,demand,PSE,14798.0
173,2020,10,1.0,wind,PSE,
174,2020,11,3.3800701051577366,water_sports,PSE,243.0
175,2020,11,1.001805917735058,demand,PSE,14574.0
176,2020,11,1.0,wind,PSE,
177,2020,12,4.298265220157145,water_sports,PSE,250.0
178,2020,12,1.0040527194982298,demand,PSE,15291.0
179,2020,12,1.0,wind,PSE,
180,2021,1,3.4620991253644315,water_sports,PSE,266.0
181,2021,1,0.9988933286292776,demand,PSE,15524.0
182,2021,1,1.0,wind,PSE,
183,2021,2,3.184054655426369,water_sports,PSE,254.0
184,2021,2,0.9964612989592637,demand,PSE,14512.0
185,2021,2,1.0,wind,PSE,
186,2021,3,2.8423858872679237,water_sports,PSE,298.0
187,2021,3,0.9920186288900275,demand,PSE,15224.0
188,2021,3,1.0,wind,PSE,
189,2021,4,2.8341259827234784,water_sports,PSE,292.0
190,2021,4,0.9969690116274948,demand,PSE,13780.0
191,2021,4,1.0,wind,PSE,
192,2021,5,3.0881803339955547,water_sports,PSE,314.0
193,2021,5,0.9428685458756363,wind,PSE,1271.0
194,2021,5,1.000478218311981,demand,PSE,13630.0
195,2021,6,2.917627331796269,water_sports,PSE,174.0
196,2021,6,0.9549550127915823,wind,PSE,595.0
197,2021,6,1.0032226191648264,demand,PSE,13695.0
198,2021,7,2.843647580489686,water_sports,PSE,177.0
199,2021,7,0.9117630846196593,wind,PSE,612.0
200,2021,7,0.9992789557247824,demand,PSE,14445.0
201,2021,8,3.0913712648982856,water_sports,PSE,211.0
202,2021,8,0.9242508833155454,wind,PSE,937.0
203,2021,8,0.997343081485672,demand,PSE,13857.0
204,2021,9,2.8629809634854486,water_sports,PSE,248.0
205,2021,9,0.9315488126674948,wind,PSE,950.0
206,2021,9,0.9988823142197341,demand,PSE,13915.0
207,2021,10,3.25089980262394,water_sports,PSE,210.0
208,2021,10,0.9491896175061592,wind,PSE,1701.0
209,2021,10,1.0014169913995472,demand,PSE,14680.0
210,2021,11,3.4777172107926457,water_sports,PSE,178.0
211,2021,11,0.9136927583238585,wind,PSE,1555.0
212,2021,11,0.9973677544603797,demand,PSE,14911.0
213,2021,12,3.4717296056749425,water_sports,PSE,208.0
214,2021,12,0.952635030735541,wind,PSE,1714.0
215,2021,12,1.0016008825099387,demand,PSE,16227.0
216,2022,1,3.302729542521234,water_sports,PSE,293.0
217,2022,1,1.009640167562347,wind,PSE,2556.0
218,2022,1,1.0093456875619766,demand,PSE,15894.0
219,2022,2,3.2109954085766588,water_sports,PSE,321.0
220,2022,2,1.0163370573677213,wind,PSE,2673.0
221,2022,2,1.0149879389040686,demand,PSE,14307.0
222,2022,3,2.9692570402492766,water_sports,PSE,253.0
223,2022,3,0.9844534904224709,wind,PSE,1178.0
224,2022,3,1.0038855746804016,demand,PSE,15483.0
225,2022,4,3.2662564981526248,water_sports,PSE,303.0
226,2022,4,0.9723210055415152,wind,PSE,1769.0
227,2022,4,1.0066858380964552,demand,PSE,14360.0
228,2022,5,3.3079578777066754,water_sports,PSE,229.0
229,2022,5,0.9619387087634366,wind,PSE,1375.0
230,2022,5,1.0046276632919369,demand,PSE,13771.0
231,2022,6,3.987433542774287,water_sports,PSE,198.0
232,2022,6,0.9565763292580415,wind,PSE,899.0
233,2022,6,1.0055891376549826,demand,PSE,13595.0
234,2022,7,4.208887321031056,water_sports,PSE,173.0
235,2022,7,0.9745709043942151,wind,PSE,1285.0
236,2022,7,1.0070354411994962,demand,PSE,13931.0
237,2022,8,4.558500759750126,water_sports,PSE,189.0
238,2022,8,0.9547562946265601,wind,PSE,748.0
239,2022,8,1.0063766749463414,demand,PSE,14072.0
240,2022,9,4.512482655144794,water_sports,PSE,200.0
241,2022,9,0.9458367577652245,wind,PSE,1091.0
