,date,arima_prediction,sarima_prediction
0,2023-02-01,[2858.613872173354],[1959.5638391515083]
1,2023-03-01,"[2365.7320586255305, 2105.632296168826]","[2735.610754211243, 2635.495227067137]"
2,2023-04-01,"[710.4999328777346, 421.0976786292921, 577.7060110738877]","[1163.8971733315034, 1048.234033123541, 1110.7602858081623]"
3,2023-05-01,"[227.6558919468319, 388.70894598787453, 502.50484576516055]","[508.7147065886563, 552.9965090245275, 553.5430735036965]"
4,2023-06-01,"[356.05170710064385, 474.5947727360781, 579.4249876116611]","[405.3751517967846, 409.479313139326, 418.39836954696034]"
5,2023-07-01,"[728.6073551959513, 863.2337635714554, 865.3870169758779]","[413.41400481326446, 453.02724965668335, 465.933495864409]"
6,2023-08-01,"[739.2012377705396, 742.6165881326417, 771.597403030865]","[784.323688403203, 782.8928231856818, 780.2719145489871]"
7,2023-09-01,"[642.7238321436726, 675.2168363949528, 584.5101232224855]","[1151.2401585225773, 1094.214904797709, 991.4039360273644]"
8,2023-10-01,"[808.8569161689334, 724.4946211908436]","[1072.354401138332, 956.9904045290468]"
9,2023-11-01,[2575.7252365528548],[1515.8920538665225]
