,date,arima_prediction,sarima_prediction
0,2023-02-01,[41024.80695551242],[46631.350624506274]
1,2023-03-01,"[41259.372073848936, 40429.678115176175]","[42202.33596960999, 41470.95967745796]"
2,2023-04-01,"[35377.35303707728, 33984.610039137435, 4820.649779945961]","[38456.07883460866, 38769.759839873754, 38710.31422419514]"
3,2023-05-01,"[31885.17247241703, -324.63690650340595, 31761.576467824463]","[34022.34366639797, 33892.576758544084, 33819.36862038746]"
4,2023-06-01,"[10661.306038360379, 29519.16706315324, 55461.19540123101]","[31316.835042903236, 31226.1056147766, 31163.74385638902]"
5,2023-07-01,"[31330.647877450087, 59223.15354509867, 45830.107850484026]","[32947.857617275586, 32869.80098789216, 32752.49588031797]"
6,2023-08-01,"[63194.76595599555, 47146.51476499849, 30384.19692090435]","[35161.49285134855, 35008.183639315146, 34875.22026413377]"
7,2023-09-01,"[42109.26941471251, 31365.697777597787, 31430.271035548503]","[35817.9263943707, 35583.09061896288, 35433.41042677266]"
8,2023-10-01,"[34737.95097949752, 34408.527055763465]","[36353.3016629552, 36145.017373761926]"
9,2023-11-01,[41110.80442981948],[38160.11129471671]
