,date,arima_prediction,sarima_prediction
0,2023-02-01,[5025.257311780362],[5838.987131861102]
1,2023-03-01,"[5205.071200304831, 5653.9575360687295]","[3387.766046002455, 3387.2213989258908]"
2,2023-04-01,"[4026.918586381157, 4351.466859314844, 3454.4836390293826]","[4354.418574062644, 4351.370221110499, 4338.8534899933375]"
3,2023-05-01,"[5342.519973200918, 4536.3202794110175, 4613.1372296992395]","[4643.433211261038, 4654.292658046435, 4658.205310996774]"
4,2023-06-01,"[4530.99896109512, 4605.440577977066, 4434.506023187168]","[5063.72508782933, 5071.264649547757, 5061.241447956106]"
5,2023-07-01,"[3588.188046227842, 3634.427465443067, 3992.046828777623]","[5386.9352333210345, 5369.050113068659, 5364.657418995615]"
6,2023-08-01,"[2756.4520243640573, 2970.0551410659446, 4282.777412356925]","[3754.6950146878353, 3732.4057396780563, 3724.853752453748]"
7,2023-09-01,"[2361.053973423382, 3879.38785614014, 2695.4691461939983]","[3514.610640535337, 3487.9510992276455, 3478.5326097335783]"
8,2023-10-01,"[3915.428948281315, 2813.3502303999285]","[3550.491322851576, 3539.3992178883514]"
9,2023-11-01,[3121.2132693060976],[3903.9745333647475]
