,date,arima_prediction,sarima_prediction
0,2020-05-01,[793.7969682997701],[821.012496606697]
1,2020-06-01,"[845.1732419205887, 844.8683158424774]","[805.7792830124409, 806.0240095632005]"
2,2020-07-01,"[881.6634516438556, 881.410790067013, 888.6421892754935]","[796.1487394184769, 796.5122426037088, 796.2330696478527]"
3,2020-08-01,"[852.86887498474, 850.9535189105804, 842.7250100011055]","[800.1752271323128, 800.0281995497548, 799.4461624139348]"
4,2020-09-01,"[828.5520049710077, 798.8210041913538, 774.2725103885265]","[793.6800154257164, 792.8816297796894, 791.4908717433395]"
5,2020-10-01,"[805.1175892698116, 791.0895595874699, 788.5359982668274]","[774.7839269003381, 771.8727112744099, 771.9955254504363]"
6,2020-11-01,"[822.7443660746058, 820.183797379227, 819.9225498837395]","[754.4009264543463, 754.5589446842351, 755.3173131950988]"
7,2020-12-01,"[846.4314229018258, 845.9881940848855, 834.8967390852862]","[755.0242994926621, 778.3143890684826, 757.3606838904551]"
8,2021-01-01,"[828.553994323517, 818.6428584295173]","[760.989336418692, 771.3890749476617]"
9,2021-02-01,[781.7209681235573],[791.5929940219334]
