,date,arima_prediction,sarima_prediction
0,2023-02-01,[4971.129309386686],[4540.296259143163]
1,2023-03-01,"[3840.970128715965, 4594.436484670733]","[4096.05555475018, 4106.457976660539]"
2,2023-04-01,"[3380.013905901064, 3464.2575824782116, 2622.9848995140096]","[3301.9614872605243, 3382.9894311797443, 3394.1169510290224]"
3,2023-05-01,"[3526.5456369868957, 3615.5116567621003, 4339.032241883227]","[3922.6634150961513, 3885.087552964707, 3986.6154566080168]"
4,2023-06-01,"[1284.3425624445915, 1050.9910495261165, 2427.755896556077]","[3130.370128393885, 3104.606472656089, 3099.116945895234]"
5,2023-07-01,"[2771.9178736912054, 2514.220754198744, 2382.665383856014]","[1774.7945730273916, 1918.810225262751, 1938.6581207878946]"
6,2023-08-01,"[2353.850363183259, 2213.69508003507, 2267.091517223216]","[2048.8986796718955, 2081.694219381228, 2079.6891015189494]"
7,2023-09-01,"[2174.0428319959706, 2683.8790698209473, 2625.274935935985]","[2860.8786095776227, 2843.7454201107485, 2811.712359616943]"
8,2023-10-01,"[4085.9189014334415, 4096.923044313639]","[2672.2330492528877, 2721.43028728531]"
9,2023-11-01,[4112.269822173299],[3062.520614340323]
